Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Entegris inc.,ENTG,"",7500.0,353000.0,0.1652,,92,7500.0,,new,0.0055486,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,47.06
Keysight technologies inc,KEYS,"",3500.0,340000.0,0.1591,,93,3500.0,,new,0.0018659,Q3 2019,HEALTH CARE,13F,09/30/2019,97.25
Zto express cayman inc adr,ZTO,"",15000.0,320000.0,0.1498,,94,15000.0,,new,0.0029573,Q3 2019,INDUSTRIALS,13F,09/30/2019,21.33
Splunk inc,SPLK,CALL,2500.0,295000.0,0.1381,,95,2500.0,,new,N/A,Q1 2017,INFORMATION TECHNOLOGY,13F,09/30/2019,
Bilibili inc,BILI,"",20000.0,282000.0,0.132,0.1581,96,-21500.0,-51.807229,reduction,No Data,Q3 2018,COMMUNICATIONS,13F,09/30/2019,16.4314
Analog devices inc,ADI,"",2500.0,279000.0,0.1306,,97,2500.0,,new,0.0006768,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,111.73
Nxp semiconductors n.v.,NXPI,"",2500.0,273000.0,0.1278,0.0913,98,-1500.0,-37.5,reduction,0.0007606,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,97.61
Direxion financial bull 3x shares,FAS,"",3500.0,272000.0,0.1273,,99,3500.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,77.64
Mobileiron inc,MOBL,"",40900.0,268000.0,0.1254,0.1007,100,-28500.0,-41.066282,reduction,0.0376196,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,6.2
Rh common stock,RH,"",1500.0,256000.0,0.1198,,101,1500.0,,new,0.0080300,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,170.83
Cabot microelectronics corp,CCMP,"",1774.0,251000.0,0.1175,,102,1774.0,,new,0.0061088,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,141.21
